William Ransom & Son,,Hitchin,,"Natural, botanical and plant extracts","30,231,000"
Moxon Huddersfield,,Holmfirth,,Manufacturer of textiles,"4,719,009"
Holyhead Boatyard,,Holyhead,,Marine services,"32,683,146"
Michael Abakhan,,Holywell,,Textiles,"11,992,291"
Pebble Hotels,,Hook,,Hotels,"2,925,989"
Marlborough Communications,,Horley,,Defence activities,"22,062,544"
Simply Biz,,Huddersfield,,Other monetary intermediation,"7,431,824"
Buy It Direct,,Huddersfield,,Retail sale via mail order houses,"73,982,592"
Wood Auto (Holdings),,Huddersfield,,Manufacturer of car parts,"11,831,944"
Vtl (Holdings),,Huddersfield,,Business and management consultancy,"38,548,361"
David Brown Gear Systems,,Huddersfield,,Gear systems,"54,019,000"
Thornton & Ross,,Huddersfield,,Pharmaceutical manufacturer,"51,519,585"
Mamas & Papas,,Huddersfield,,Baby equipment,"91,016,000"
"John Good & Sons,",,Hull,,Shipping/freight,"12,299,000"
Willerby Holiday Homes,,Hull,,Mobile holiday homes,"99,130,373"
Paneltex,,Hull,,Manufacture of bodies for motor vehicles,"15,030,434"
Heron Foods,,Hull,,Food retailer,"148,180,543"
Arco,,Hull,,Safety equipment retailer,"215,708,000"
Shorewood Leisure Group,,Hull,,Holiday parks,"17,557,800"
Mccambridge (North),,Huntingdon,,Baker,"108,988,000"
Luminus Group,,Huntingdon,,Development and selling of real estate - interesting CEO,"32,344,000"
Hexagon Investment Holdings,,Huntingdon,,Labour recruitment,"48,044,333"
Cybit Group,,Huntingdon,,Vehicle tracking software,"17,909,000"
Regenersis,,Huntingdon,,IT infrastructure services,"116,353,000"
Wax Digital,,Hyde,,Procurement software,N/A
Ibstock,,Ibstock,,General construction and civil engineering,"125,386,000"
Ranc Care Homes,,Ilford,,Hospital activities,"15,838,330"
Rgb Hifi & Video,,Ilford,,Electrical goods retailer,"10,488,457"
Mackie'S,,Inverurie,,Farming and icecream,"12,405,532"
Bts Group,,Ipswich,,Tree chopper,"14,452,477"
Elliston Steady & Hawes,,Ipswich,,General construction and civil engineering,"15,810,325"
The Centre For Integrated Photonics,,Ipswich,,Photonics centre,N/A
Clarice Leisure,,Ipswich,,Health clubs,"5,775,782"
City Screen Cinemas,,Ipswich,,Cinemas,"15,420,298"
The Cloud Networks,,Isleworth,,WI-FI provider,"17,884,000"
John Hogarth,,Kelso,,Milling,"7,173,899"
Je Wilson And Sons (Kendal),,Kendal,,Kendal mint cake since 1915,N/A
Mardix,,Kendal,,Power management systems,"29,725,325"
British Equestrian Federation,,Kenilworth,,Sporting activities,"5,426,704"
Robert Walker (Food Merchants),,Keston,,Food merchants,"29,355,633"
Weetabix,,Kettering,,Cereals,"322,157,000"
Healthy Kids,,Kettering,,Little Dish brand,N/A
Evenden Group,,Kettering,,Lingerie,"69,243,000"
Redspeed International,,Kidderminster,,Road safety,"9,656,112"
Alfred G Pearce,,King's Lynn,,Processing and preserving of fruit and vegetables not elsewhere classified,"14,875,871"
Sealskinz,,King's Lynn,,Clothing manufacturer,"5,399,595"
Cuffe Holdings,,Kingston upon Thames,,Letting of own property,"38,647,227"
Brook Hotels,,Kingston upon Thames,,Hotels,"16,061,054"
Midland Steel Sections,,Kingswinford,,Steel sections,"6,134,152"
Minivator Group,,Kingswinford,,Equipment for elderly and disabled,"50,656,000"
Stirling Lloyd Contracts,,Knutsford,,Other construction work involving special trades,"7,967,910"
Oliver Valves,,Knutsford,,Valve maker,"12,160,040"
Harman Technology,,Knutsford,,Photographic/medical devices,"22,627,098"
Askam Construction,,Lancaster,,General construction and civil engineering,"17,349,797"
The Amerang Group,,Lancing,,Modelzone,"23,625,359"
H.R.Jasper & Son,,Launceston,,Production and preserving of meat,"60,037,935"
Bravissimo,,Leamington Spa,,Lingerie,"44,944,020"
Agant,,Leamington Spa,,Mobile applications,N/A
Haygrove,,Ledbury,,Food growing systems,"30,952,099"
Troy Foods,,Leeds,,Processing and preserving of fruit and vegetables not elsewhere classified,"22,231,066"
Construction Marine,,Leeds,,General construction and civil engineering,"13,862,615"
Al. Murad D.I.Y.,,Leeds,,Floor and wall covering,"19,281,354"
Lnt Group,,Leeds,,Care homes/construction to super cars,"29,444,387"
Oxford Catalysts Group,,Leeds,,Fuel technology,"8,655,000"
Corrosioneering Group,,Leeds,,"Manufacture of paints, varnishes and similar coatings","14,402,586"
Straight,,Leeds,,Recycling storage,"30,660,000"
Gratterpalm,,Leeds,,Advertising,"8,985,667"
Pharmacy2U,,Leeds,,Dispensing chemists,"19,521,000"
Rosemont Holdings,,Leeds,,Manufacture of pharmaceutical products,"38,785,000"
Rosemont Pharmaceuticals,,Leeds,,Liquid pharmaceuticals manufacturer,"38,785,000"
Joe Browns,,Leeds,,Clothing retailer,"18,605,497"
Republic,,Leeds,,Fashion retailer,"173,301,615"
Sicl,,Leeds,,IT infrastructure specialist,"4,446,544"
Egton Medical Information Systems,,Leeds,,Primary care software provider,"57,233,721"
Callcredit Information Group,,Leeds,,Credit management IT,"61,101,000"
Qhotels Group,,Leeds,,Hotels,"118,973,000"
Adams Foods,,Leek,,Dairy,"232,910,000"
John Munroe Hospital,,Leek,,Hospital activities,"7,245,314"
